cuda
torch.Size([2, 7, 10])
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       cudaLaunchKernel        90.06%     220.404ms        90.06%     220.404ms     486.543us         -16 b         -16 b      -5.00 Mb      -5.00 Mb           453  
                                               cudaFree         2.82%       6.910ms         2.82%       6.910ms       3.455ms           0 b           0 b           0 b           0 b             2  
                                        model_inference         1.76%       4.313ms       100.00%     244.732ms     244.732ms         144 b        -440 b      13.88 Mb      -5.08 Mb             1  
                                            aten::addmm         0.89%       2.179ms         6.08%      14.887ms     153.474us           0 b           0 b      13.25 Mb      18.25 Mb            97  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.78%       1.913ms         0.78%       1.913ms      39.854us           0 b           0 b           0 b           0 b            48  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.78%       1.903ms         0.78%       1.903ms     100.158us           0 b           0 b           0 b           0 b            19  
                                           aten::einsum         0.24%     593.000us         3.33%       8.158ms     226.611us           0 b           0 b       2.33 Mb           0 b            36  
                                           aten::linear         0.20%     481.000us         6.47%      15.827ms     163.165us           0 b           0 b      12.25 Mb      -1.00 Mb            97  
                                            aten::empty         0.19%     455.000us         0.19%     455.000us       2.382us         732 b         732 b       3.27 Mb       3.27 Mb           191  
                                             cudaMalloc         0.19%     455.000us         0.19%     455.000us      65.000us           0 b           0 b           0 b           0 b             7  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 244.732ms

